"id","fase","pacote","prioridade","acao","objetivo","problema","evidencia","arquivo_funcao_url_aba","mudanca_exata","arquivos_previstos","dependencias","ordem","impacto_textual","impacto_schema","impacto_atribuicao","acao_externa","modelo_recomendado","esforco_raciocinio","ultra","revisor","justificativa_inteligencia","esforco_humano","risco","confianca","impacto_esperado","metrica","guardrail","teste_anterior","teste_posterior","duracao_minima","regra_manter","regra_reverter","rollback","documentacao"
"SEO-004","3/7","B/E","P1","corrigir","Sinais de frescor coerentes e auditáveis.","Sitemap e schema divergem em datas de modificação.","19/30 páginas com dateModified têm lastmod diferente.","sitemap.xml; dateModified; datas visíveis; fonte editorial","Criar fonte editorial única; na fase técnica alinhar sinais não visíveis apenas quando a data verdadeira estiver comprovada; datas visíveis ficam no pacote textual E; nunca usar data do deploy.","sitemap.xml; dateModified; datas visíveis; fonte editorial","histórico Git/editorial; aprovação de data","43","visível=possível; não visível=sim","sim","não","não","Sol — alto para decisão; Terra — alto para implementação","alto","não, salvo conflito","Sol — alto","decisão relevante com escopo delimitável","médio","Atualizar tudo em massa cria frescor falso e perde histórico editorial.","alta","Sinais de frescor coerentes e auditáveis.","URLs válidas/indexadas ou métrica técnica específica (datas, LCP/INP/CLS, bytes, inlinks)","lastmod somente por mudança significativa","congelar baseline; diff de conteúdo; parser XML/JSON-LD; comparação de datas","diff de conteúdo; parser XML/JSON-LD; comparação de datas","28 dias inicial; 90 dias para tendência","100% das datas divergentes resolvidas com evidência","qualquer data sem mudança material comprovada","restaurar datas documentadas anteriores","política editorial e gerador de sitemap/schema"
"SEO-005","0/2","G","P1","observar","Reduzir incerteza de indexação e priorizar por evidência real.","Cobertura, canonical escolhido, consultas, 28/90 dias e CWV atuais não foram acessíveis.","GSC atual = N/D nesta auditoria.","Google Search Console","Após autorização somente leitura, exportar Page Indexing, Sitemaps, URL Inspection amostral, Search Results 28/90 dias e CWV; preservar arquivos brutos, filtros, fuso e timestamp.","Google Search Console","propriedade/acesso GSC","44","visível=não; não visível=não","não","não","sim — somente leitura GSC","Sol — alto para decisão; Terra — alto para implementação","alto","não, salvo conflito","Sol — alto","decisão relevante com escopo delimitável","baixo","Filtros errados ou snapshot parcial podem induzir decisão.","alta para lacuna","Reduzir incerteza de indexação e priorizar por evidência real.","URLs válidas/indexadas ou métrica técnica específica (datas, LCP/INP/CLS, bytes, inlinks)","posição média não é ranking; N/D permanece N/D","congelar baseline; reproduzir export e reconciliar URLs do inventário","reproduzir export e reconciliar URLs do inventário","28 dias inicial; 90 dias para tendência","fontes e filtros reproduzíveis cobrem 28/90d","export não reconciliável ou propriedade errada","não aplicável; descartar export incorreto","EVIDENCIAS e plano de mensuração"
"SEO-006","3","B","P1","testar","Reduzir bytes e risco de LCP/INP ruim em mobile.","O site referencia até 63,07 MB de mídia e um arquivo de 42,64 MB; impacto real é N/D.","Tamanhos foram calculados no inventário; PSI retornou 429 e CWV atual é N/D.","páginas com mídia; sobretudo otoplastia; vídeos/imagens","Após baseline, testar poster otimizado, preload none fora da dobra, carregamento sob interação, compressão e variantes, sem remover ou trocar conteúdo.","páginas com mídia; sobretudo otoplastia; vídeos/imagens","SEO-003; baseline por template","45","visível=não; não visível=não","não","não","não","Sol — alto para decisão; Terra — alto para implementação","alto","não, salvo conflito","Sol — alto","decisão relevante com escopo delimitável","médio-alto","Pode piorar reprodução, qualidade, acessibilidade ou percepção.","média","Reduzir bytes e risco de LCP/INP ruim em mobile.","URLs válidas/indexadas ou métrica técnica específica (datas, LCP/INP/CLS, bytes, inlinks)","conteúdo e qualidade preservados; uma classe por teste","congelar baseline; três rodadas lab; bytes; LCP/CLS/TBT; início de reprodução; inspeção visual","três rodadas lab; bytes; LCP/CLS/TBT; início de reprodução; inspeção visual","28 dias inicial; 90 dias para tendência","melhora repetida sem regressão funcional","reprodução/qualidade/CWV pioram","restaurar atributos/arquivos anteriores","guia de mídia/performance"
"SEO-007","7","E/F","P2","testar","Melhor navegação e descoberta contextual.","Duas páginas têm apenas um link interno de entrada.","Inventário calculou o menor número de inlinks nessas URLs; impacto em descoberta é inferência.","/braquioplastia/; /conteudos/papada-contorno-cervical/; grafo interno","Revisar contexto editorial e adicionar links/âncoras úteis em páginas relacionadas; não fazer engenharia artificial de palavra-chave.","/braquioplastia/; /conteudos/papada-contorno-cervical/; grafo interno","aprovação editorial; mapa de conteúdo","46","visível=sim; não visível=sim","não","não","não","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","baixo","Link artificial pode confundir usuário ou diluir relevância.","alta para contagem; média para impacto","Melhor navegação e descoberta contextual.","URLs válidas/indexadas ou métrica técnica específica (datas, LCP/INP/CLS, bytes, inlinks)","âncora descreve destino e é útil ao leitor","congelar baseline; crawl/inlinks; clique e tarefa de navegação","crawl/inlinks; clique e tarefa de navegação","28 dias inicial; 90 dias para tendência","navegação melhora e crawl permanece limpo","link artificial/confuso ou piora de uso","remover link específico","mapa editorial e histórico"
"SEO-008","7","E","P2","testar","Acessibilidade e melhor compreensão por buscadores/IA.","Vídeos não têm VideoObject nem track, mas nem todos são elegíveis ou precisam de marcação.","33 vídeos em 16 páginas; zero VideoObject e zero elemento track no inventário.","33 vídeos em 16 páginas; player; schema","Selecionar vídeos principais; criar legenda/transcrição aprovada e metadados verdadeiros; marcar apenas páginas de exibição elegíveis com thumbnail/duração/data/descrição sustentadas.","33 vídeos em 16 páginas; player; schema","revisão médica/editorial; ativos estáveis","47","visível=sim; não visível=sim","sim","não","não","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","alto","Schema/legenda incorretos ou duplicados criam desinformação.","média","Acessibilidade e melhor compreensão por buscadores/IA.","URLs válidas/indexadas ou métrica técnica específica (datas, LCP/INP/CLS, bytes, inlinks)","nenhum texto automático ou metadado inventado","congelar baseline; conteúdo visível, player, Rich Results/parser e duplicidade","conteúdo visível, player, Rich Results/parser e duplicidade","28 dias inicial; 90 dias para tendência","vídeos selecionados passam QA e conteúdo coincide","qualquer divergência ou acessibilidade pior","remover schema/track incorreto mantendo o vídeo","política de vídeo e schema"
"SEO-009","3","B","P2","testar","Reduzir bloqueio de renderização e melhorar estabilidade.","Quarenta e três páginas dependem de stylesheet externo de fontes; impacto real é N/D.","Dependência foi observada em 43 URLs.","stylesheet de fontes; CSS comum; templates","Depois do baseline, testar subset/localização de fontes e CSS crítico por template, respeitando licença e sem mudar tipografia comunicacional aprovada.","stylesheet de fontes; CSS comum; templates","SEO-003; licença; inventário de pesos","48","visível=não; não visível=não","não","não","não","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","médio","Pode alterar legibilidade, branding, licença ou CLS.","média","Reduzir bloqueio de renderização e melhorar estabilidade.","URLs válidas/indexadas ou métrica técnica específica (datas, LCP/INP/CLS, bytes, inlinks)","mesma aparência/legibilidade; licença respeitada","congelar baseline; LCP/CLS/peso/cache/rendering em três rodadas e inspeção visual","LCP/CLS/peso/cache/rendering em três rodadas e inspeção visual","28 dias inicial; 90 dias para tendência","melhora repetida sem regressão visual","legibilidade/CLS/licença pioram","voltar ao carregamento atual","guia de fontes/performance"
"SEO-010","2","B/G","P2","testar","Evidência real de acesso por mecanismo.","Testes por user-agent não comprovam acesso de bot genuíno.","Crawlers técnicos receberam conteúdo no teste; IP/rDNS/range genuínos não foram verificados.","logs CDN/host; crawlers","Criar observabilidade anonimizada de crawler e validar IP/rDNS/ranges oficiais antes de classificar agente; não registrar query, ID pessoal ou conteúdo.","logs CDN/host; crawlers","SEC-002; retenção; acesso ao host","49","visível=não; não visível=não","sim","não","possível — host/CDN","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","médio","Logs podem coletar dados além da finalidade ou classificar spoofing.","alta para lacuna","Evidência real de acesso por mecanismo.","URLs válidas/indexadas ou métrica técnica específica (datas, LCP/INP/CLS, bytes, inlinks)","zero query/PII; retenção mínima","congelar baseline; fixtures de spoofing; validação de range; revisão de logs","fixtures de spoofing; validação de range; revisão de logs","28 dias inicial; 90 dias para tendência","agentes verificados sem exposição","PII, spoofing aceito ou uso sem finalidade","desativar log e remover dados fora da finalidade","política de crawler logging"
"AI-004","2/8","G","P2","observar","Criar baseline verificável de descoberta no Copilot.","Citações e páginas usadas pelo Copilot são N/D.","Relatório autenticado atual não foi acessível.","Bing Webmaster AI Performance","Com autorização somente leitura, exportar páginas citadas, consultas e período; separar citação, crawl, tráfego e conversão.","Bing Webmaster AI Performance","propriedade Bing; protocolo de evidência","50","visível=não; não visível=não","não","não","sim — Bing Webmaster","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","baixo","Relatório parcial pode ser interpretado como causalidade.","alta para lacuna","Criar baseline verificável de descoberta no Copilot.","acessibilidade verificada, consistência de entidade e citações reproduzíveis","não tratar aumento como efeito causal isolado","congelar baseline; repetir export com período/fuso e guardar bruto","repetir export com período/fuso e guardar bruto","28 dias inicial; 90 dias para tendência","série mensal reproduzível","dados não reproduzíveis ou propriedade errada","não aplicável; descartar export inválido","EVIDENCIAS e mensuração IA"
"AI-005","2","G","P2","observar","Medir consistência sem prometer aparição.","Respostas/citações atuais são voláteis e N/D para estabilidade.","Buscas pontuais não medem presença estável.","ChatGPT; Gemini; Perplexity; Copilot; protocolo diagnóstico","Executar protocolo mensal com consultas fixas, sessão/idioma/localidade, ≥3 repetições, URL citada e variação; separar de tráfego atribuído.","ChatGPT; Gemini; Perplexity; Copilot; protocolo diagnóstico","lista fixa; política de cada mecanismo","51","visível=não; não visível=não","não","não","sim — consultas externas somente após autorização operacional","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","médio","Consultas personalizadas e respostas voláteis geram falso ranking.","média-alta","Medir consistência sem prometer aparição.","acessibilidade verificada, consistência de entidade e citações reproduzíveis","resposta única não é sucesso; nenhuma consulta clínica pessoal","congelar baseline; repetibilidade, hashes/prints sem PII e comparação mensal","repetibilidade, hashes/prints sem PII e comparação mensal","28 dias inicial; 90 dias para tendência","consistência cresce em várias repetições","violação de termos ou resultado não reproduzível","interromper protocolo se não reproduzível/permitido","protocolo de monitoramento IA"
"AI-006","3","B","P3","não alterar","Evitar complexidade e falsa sensação de otimização.","Não existe llms.txt, mas isso não é bloqueio e o recurso não é padrão consolidado de descoberta.","Robots/sitemap/canonical estão presentes; ausência de llms.txt não causou falha observada.","llms.txt","Não criar agora; manter como experimento complementar futuro somente após baseline e fonte canônica.","llms.txt","baseline IA estável","52","visível=não agora; não visível=não","não","não","não","Terra — médio para observação; Sol — alto se houver sinal","médio","não","Sol — alto se promovido","evidência insuficiente e baixo risco imediato","baixo","Arquivo pode divergir do site e ser tratado como solução mágica.","alta","Evitar complexidade e falsa sensação de otimização.","acessibilidade verificada, consistência de entidade e citações reproduzíveis","nunca substituir robots/sitemap/conteúdo","congelar baseline; se testado no futuro, verificar consumidor e consistência","se testado no futuro, verificar consumidor e consistência","90 dias antes de reconsiderar","somente manter com consumidor/benefício verificável","qualquer drift ou ausência de uso","remover arquivo experimental","registro de decisão IA"
"SEC-006","1/6","A/D","P1","corrigir","Reduzir correlação/reidentificação entre sistemas.","Pseudônimos de pessoa usam SHA-256 truncado sem segredo e Opportunity ID pode ser derivado de event ID+profissional, mantendo correlação se exportado.","Revisão estática encontrou derivação sem chave; reversão prática não foi demonstrada, mas o espaço de entrada pode permitir correlação.","stableLeadHash_; Opportunity ID; store interno","Definir threat model; migrar pseudônimo pessoal para HMAC com key_version; usar UUID aleatório para oportunidade quando possível; nunca reutilizar em ID de mídia; guardar alias somente em storage protegido.","stableLeadHash_; Opportunity ID; store interno","SEC-001/002; segredo; mapa de consumidores; backup","53","visível=não; não visível=não","sim","sim","não","Sol — extra-alto para arquitetura; Sol/Terra — alto para implementação delimitada","alto a extra-alto","sim","Sol — extra-alto","integração de várias camadas pode perder dados silenciosamente","alto","Rotação/migração pode duplicar pessoa/oportunidade ou perder histórico.","média-alta","Reduzir correlação/reidentificação entre sistemas.","incidentes, IDs ou payloads com PII/dado semântico proibido e cobertura do controle","zero PII/PHI; chaves fora do repo; ID de mídia separado","congelar baseline; vetores de chave/rotação; dual-read; cardinalidade; replay","vetores de chave/rotação; dual-read; cardinalidade; replay","14 dias ou amostra mínima do plano","100% novos IDs seguem versão aprovada e reconciliação permanece 1:1","colisão, oportunidade duplicada ou perda de vínculo","interromper dual-write e ler alias protegido; nunca voltar a hash sem chave em saídas","arquitetura de identidade, rotação de chave e migração"
"CAL-001","2/6","D/G","P0","corrigir","Tornar consulta um resultado auditável e seguro.","Consulta e Calendar precisam estar reconciliados no mesmo grão antes de usar consulta/ROAS para decisão.","Norte exige ≥95% das novas consultas com Opportunity ID e evento válido, sem confirmação sem sala/equipe; estado atual completo é N/D nesta auditoria.","Consultas; CRM; Google Calendar; dashboards","Instrumentar e reconciliar solicitado/agendado/confirmado/realizado/falta/cancelado por Opportunity ID+event ID; bloquear confirmação sem sala/equipe; reportar N/D onde faltar vínculo.","Consultas; CRM; Google Calendar; dashboards","contrato D; acesso Calendar; regras clínicas","54","visível=não; não visível=não","sim","sim","sim — Calendar somente após autorização","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","sim","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","alto","Vincular evento errado ou confirmar paciente sem estrutura.","alta para gate; N/D para cobertura atual","Tornar consulta um resultado auditável e seguro.","percentual de consultas com Opportunity ID+evento válido e confirmações órfãs","≥95% novas consultas; nenhuma confirmação órfã; zero PII em relatório","congelar baseline; cópia/sandbox; evento válido/inválido; sala/equipe; cancelamento/falta","cópia/sandbox; evento válido/inválido; sala/equipe; cancelamento/falta","até passar; depois 7–14 dias de estabilidade","gate do Norte mantido por 14 dias","cobertura <95% ou confirmação sem sala/equipe","parar sincronização e restaurar snapshot; confirmação volta a revisão humana","Norte; runbook de agenda; dicionário de fases"
"SLA-001","2/6","D","P1","corrigir","Atendimento mensurável e seguro antes de escalar aquisição.","SLA e roteamento não devem liberar escala se não forem calculáveis/confiáveis.","Norte exige SLA calculável em ≥95% das novas conversas, rota válida ≥99% e nenhum P0/P1 operacional vencido; cobertura atual equivalente é N/D.","_WHATSAPP_EVENTOS; Central de Atendimento; Painel do Bot","Materializar timestamps e denominadores por conversa; validar rota; excluir marketing/não paciente sem criar pendência; alertar P0/P1 vencido e impedir gate verde.","_WHATSAPP_EVENTOS; Central de Atendimento; Painel do Bot","taxonomia operacional; bot/central; regras de exclusão","55","visível=não; não visível=não","sim","não","não","Sol — extra-alto para arquitetura; Sol/Terra — alto para implementação delimitada","alto a extra-alto","sim","Sol — extra-alto","integração de várias camadas pode perder dados silenciosamente","médio-alto","Classificar marketing como paciente ou esconder falhas de SLA.","alta para gate","Atendimento mensurável e seguro antes de escalar aquisição.","SLA calculável, rota válida e P0/P1 vencidos","SLA ≥95%; rota ≥99%; zero P0/P1 vencido; nenhum bot em rota ambígua","congelar baseline; amostras anônimas de marketing/paciente/continuidade; relógio útil; rota ambígua","amostras anônimas de marketing/paciente/continuidade; relógio útil; rota ambígua","14 dias ou amostra mínima do plano","gates estáveis por 14 dias","qualquer P0/P1 vencido, rota inválida ou denominador corrompido","desativar projeção nova e manter fila humana","Norte; manual de atendimento; dashboard"
"GAD-001","0/5","G","P0","observar","Evitar otimização por sinal quebrado ou definição errada.","O papel atual da ação offline precisa ser confirmado antes de confiar em lances; snapshots históricos divergem.","Norte registra que em 09/08 parecia secundária; snapshot autenticado de 14/08 indicou Principal/incluída/meta personalizada e Requer atenção; estado de 15/08 é N/D.","Google Ads; ação Lead qualificado GCLID; metas das campanhas","Em modo somente leitura, confirmar ação principal/secundária, inclusão nas metas e meta usada em cada campanha; registrar screenshots/export e alerta; não mudar lances até recibos e sete dias sem alerta.","Google Ads; ação Lead qualificado GCLID; metas das campanhas","DAT-001; acesso Ads; fuso","56","visível=não; não visível=não","não","sim","sim — somente leitura agora; qualquer ajuste separado","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","opcional","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","baixo","Interpretar snapshot antigo como atual ou alterar meta sem autorização.","alta para necessidade; média para estado atual","Evitar otimização por sinal quebrado ou definição errada.","papel da ação em metas, diagnóstico e recibos reconciliados","nenhuma mudança Ads; N/D se interface não comprovar","congelar baseline; reconciliar tela de ação, metas de conta/campanha e diagnósticos","reconciliar tela de ação, metas de conta/campanha e diagnósticos","até passar; depois 7–14 dias de estabilidade","100% das seis campanhas têm papel documentado e sinal reconciliado","qualquer divergência ou alerta persiste","não aplicável; descartar captura ambígua","Norte; inventário Ads; EVIDENCIAS"
"STR-001","0 após reconciliação","G/D","P1","corrigir","Decisões estratégicas baseadas em denominador confiável.","O texto histórico pode tratar ausência de consulta ligada como gargalo causal, embora Calendar/CRM não estejam reconciliados no mesmo grão.","O recorte dizia nenhuma consulta agendada; a leitura segura é zero consulta registrada/ligada no snapshot e resultado real N/D até reconciliação.","Norte §2; relatórios de funil","Não alterar nesta auditoria; após CAL-001, atualizar Norte/histórico com fato, limitação e hipótese: drop-off observado ou falha de mensuração, sem causalidade indevida.","Norte §2; relatórios de funil","CAL-001; autorização estratégica","57","visível=não; não visível=sim","não","sim","não","Sol — extra-alto para arquitetura; Sol/Terra — alto para implementação delimitada","alto a extra-alto","sim","Sol — extra-alto","integração de várias camadas pode perder dados silenciosamente","baixo","Reescrever o Norte antes da prova pode apagar contexto histórico.","alta","Decisões estratégicas baseadas em denominador confiável.","reconciliação do denominador e ausência de causalidade indevida","zero não substitui N/D; preservar histórico e motivo","congelar baseline; reconciliação por Opportunity ID/event ID e revisão do texto","reconciliação por Opportunity ID/event ID e revisão do texto","14 dias ou amostra mínima do plano","novo texto reflete a fonte reconciliada","qualquer conclusão causal sem evidência","manter texto atual anotado até prova; rollback documental por Git","Norte e histórico estratégico"
"OPS-001","9","A/B/C/D/E/F/G","P0","corrigir","Reprodutibilidade e rollback confiável.","Risco futuro de editar/publicar locais diferentes e criar drift.","Regra operacional exige local, commit e publicação iguais; auditorias podem entrar no deploy se o artefato não for restrito.","Git; build; host; documentação canônica","Registrar commit-base; escopo/diff; testes; atualizar Norte quando estratégia mudar; commit intencional; publicar commit aprovado; verificar hash/artefato e smoke; registrar versão.","Git; build; host; documentação canônica","SEC-003; autorização do pacote","58","visível=depende do pacote; não visível=depende do pacote","depende do pacote","depende do pacote","sim — publicação somente autorizada","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","sim","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","médio","Deploy de mudança não autorizada ou artefato divergente.","alta","Reprodutibilidade e rollback confiável.","igualdade local=commit=produção e smoke tests","nenhum arquivo fora do escopo; auditorias não públicas","congelar baseline; git diff/check/test/build; manifesto; smoke; comparação hash","git diff/check/test/build; manifesto; smoke; comparação hash","até passar; depois 7–14 dias de estabilidade","local=commit=produção e testes verdes","qualquer divergência ou regressão crítica","rollback ao commit-base e confirmação live","AGENTS; Norte; histórico e runbook deploy"
"OBS-001","2–9","todos","P2","observar","Decisões mais confiáveis e menor risco de otimização local.","Sem cadência e amostra mínimas, decisões podem reagir a ruído ou janelas contaminadas.","Instrumentação é recente e várias métricas são N/D ou têm baixa cobertura.","dashboards; logs; relatórios de revisão","Adotar plano de mensuração: diário em migração; 7/14 dias técnicos; 28/90 dias SEO; uma variável por teste; N/D explícito.","dashboards; logs; relatórios de revisão","15-PLANO-DE-MENSURACAO.md","59","visível=não; não visível=não","sim","sim","não","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","baixo","Metas rígidas sem volume podem atrasar aprendizado.","alta","Decisões mais confiáveis e menor risco de otimização local.","reconciliação da métrica principal e guardrails","não usar benchmark genérico nem causalidade falsa","congelar baseline; reconciliação e auditoria de denominadores","reconciliação e auditoria de denominadores","14 dias ou amostra mínima do plano","janelas completas e guardrails estáveis","qualquer decisão baseada em dado não reconciliado","pausar painel/decisão se fonte divergir","dicionário de métricas e calendário de revisão"
